Student Name,"Current 
Grade Level","Student 
Number",Course,Course Number,Grade,GPA Points,Storecode,"Historical
Grade Level",Combined GPA+ (Grade * 100)+ AP Bounus (.333),Email Reference
Aang Rajesh Kumar,11,6012345,Geometry,10000,B+,3.07429,S2,9,903.07429,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Global Studies 9,10300,B,2.84411,S2,9,902.84411,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Language 9,10520,C,1.41774,S2,9,901.41774,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Social Studies 9,10521,C-,1.79905,S2,9,901.79905,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,PE Grade 9,10716,C,0.38247,S2,9,900.38247,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Advisory 10,10701,A+,4,S1,10,1004,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Algebra II,10015,C,1.64456,S1,10,1001.64456,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Chemistry,10400,B,2.72069,S1,10,1002.72069,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,English 10,10210,B+,3.09525,S1,10,1003.09525,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Global Studies 10,10310,C,0.13048,S1,10,1000.13048,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,HS Concert Band,10646,D+,1.14419,S1,10,1001.14419,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Language 10,10522,D-,0.36175,S1,10,1000.36175,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Social Studies 10,10523,D,0.52142,S1,10,1000.52142,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,PE Grade 10,10712,C-,1.16558,S1,10,1001.16558,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Theater I,10630,C-,1.6525,S1,10,1001.6525,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Advisory 10,10701,B-,2.47436,S2,10,1002.47436,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Algebra II,10015,B+,2.91068,S2,10,1002.91068,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Chemistry,10400,A+,4,S2,10,1004,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,English 10,10210,B+,3.12072,S2,10,1003.12072,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Global Studies 10,10310,B+,3.07698,S2,10,1003.07698,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,HS Concert Band,10646,A-,3.36877,S2,10,1003.36877,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Language 10,10522,C,1.01266,S2,10,1001.01266,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Korean Social Studies 10,10523,D-,0.4701,S2,10,1000.4701,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,PE Grade 10,10712,B,2.81614,S2,10,1002.81614,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Yearbook,10940,C+,2.10483,S2,10,1002.10483,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Advisory 11,10702,A,3.7003,S1,11,1103.7003,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,AP Seminar,10222,A-,3.47768,S1,11,1103.81068,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,English 11,10220,A-,3.31859,S1,11,1103.31859,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Film as Literature,10244,A+,4,S1,11,1104,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,HS Concert Band,10646,C,1.37258,S1,11,1101.37258,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Physics,10422,B-,2.43399,S1,11,1102.43399,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,Pre-Calculus,10002,C,0.80296,S1,11,1100.80296,11d25@kis.ac
Aang Rajesh Kumar,11,6012345,US History,10330,D-,0.12058,S1,11,1100.12058,11d25@kis.ac
Sokka Min Kim,11,7856992,Advisory 9,10700,D+,1.01713,S1,9,901.01713,11e25@kis.ac
Sokka Min Kim,11,7856992,Biology,10410,B+,2.88298,S1,9,902.88298,11e25@kis.ac
Sokka Min Kim,11,7856992,English &amp; Writing 9,10203,C,0.32893,S1,9,900.32893,11e25@kis.ac
Sokka Min Kim,11,7856992,English for Academic Purposes,10251,D-,0.25579,S1,9,900.25579,11e25@kis.ac
Sokka Min Kim,11,7856992,Geometry,10000,B-,2.15773,S1,9,902.15773,11e25@kis.ac
Sokka Min Kim,11,7856992,Global Studies 9,10300,C+,1.99865,S1,9,901.99865,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Language 9,10520,A-,3.20326,S1,9,903.20326,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Social Studies 9,10521,C,1.63897,S1,9,901.63897,11e25@kis.ac
Sokka Min Kim,11,7856992,PE Grade 9,10716,B+,3,S1,9,903,11e25@kis.ac
Sokka Min Kim,11,7856992,Advisory 9,10700,C+,2.08913,S2,9,902.08913,11e25@kis.ac
Sokka Min Kim,11,7856992,Biology,10410,A+,3.85377,S2,9,903.85377,11e25@kis.ac
Sokka Min Kim,11,7856992,English &amp; Writing 9,10203,C,1.13416,S2,9,901.13416,11e25@kis.ac
Sokka Min Kim,11,7856992,Geometry,10000,B-,2.35628,S2,9,902.35628,11e25@kis.ac
Sokka Min Kim,11,7856992,Global Studies 9,10300,B+,3.01659,S2,9,903.01659,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Language 9,10520,B-,2.20624,S2,9,902.20624,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Social Studies 9,10521,B,2.65846,S2,9,902.65846,11e25@kis.ac
Sokka Min Kim,11,7856992,PE Grade 9,10716,C,0.75292,S2,9,900.75292,11e25@kis.ac
Sokka Min Kim,11,7856992,PE Grade 9,10716,A-,3.16423,S2,9,903.16423,11e25@kis.ac
Sokka Min Kim,11,7856992,Yearbook,10940,C,0.01565,S2,9,900.01565,11e25@kis.ac
Sokka Min Kim,11,7856992,Advisory 10,10701,B-,2.39993,S1,10,1002.39993,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Psychology,10342,A+,4,S1,10,1004.333,11e25@kis.ac
Sokka Min Kim,11,7856992,Chemistry,10400,C,0.79011,S1,10,1000.79011,11e25@kis.ac
Sokka Min Kim,11,7856992,English 10,10210,B+,2.90969,S1,10,1002.90969,11e25@kis.ac
Sokka Min Kim,11,7856992,Global Studies 10,10310,C+,2.0352,S1,10,1002.0352,11e25@kis.ac
Sokka Min Kim,11,7856992,Honors Algebra II,10016,C,0.26208,S1,10,1000.26208,11e25@kis.ac
Sokka Min Kim,11,7856992,Honors Yearbook,10943,D-,0.35078,S1,10,1000.35078,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Language 10,10522,C-,1.33629,S1,10,1001.33629,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Social Studies 10,10523,C+,2.12117,S1,10,1002.12117,11e25@kis.ac
Sokka Min Kim,11,7856992,PE Grade 10,10712,B+,3.04983,S1,10,1003.04983,11e25@kis.ac
Sokka Min Kim,11,7856992,Advisory 10,10701,C,1.00549,S2,10,1001.00549,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Psychology,10342,A+,3.95729,S2,10,1004.29029,11e25@kis.ac
Sokka Min Kim,11,7856992,Chemistry,10400,C,0.04684,S2,10,1000.04684,11e25@kis.ac
Sokka Min Kim,11,7856992,English 10,10210,A-,3.19094,S2,10,1003.19094,11e25@kis.ac
Sokka Min Kim,11,7856992,Global Studies 10,10310,C,0.20671,S2,10,1000.20671,11e25@kis.ac
Sokka Min Kim,11,7856992,Honors Algebra II,10016,B-,2.35492,S2,10,1002.35492,11e25@kis.ac
Sokka Min Kim,11,7856992,Honors Yearbook,10943,A-,3.37694,S2,10,1003.37694,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Language 10,10522,C,0.0283,S2,10,1000.0283,11e25@kis.ac
Sokka Min Kim,11,7856992,Korean Social Studies 10,10523,B+,2.96205,S2,10,1002.96205,11e25@kis.ac
Sokka Min Kim,11,7856992,PE Grade 10,10712,C,1.09041,S2,10,1001.09041,11e25@kis.ac
Sokka Min Kim,11,7856992,Advisory 11,10702,B-,2.35367,S1,11,1102.35367,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Calculus AB,10531,C+,2,S1,11,1102.333,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Chemistry,10431,C,0.58015,S1,11,1100.91315,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Physics 1,10432,A,3.74389,S1,11,1104.07689,11e25@kis.ac
Sokka Min Kim,11,7856992,AP Seminar,10222,C,0.47925,S1,11,1100.81225,11e25@kis.ac
Sokka Min Kim,11,7856992,English 11,10220,B+,3,S1,11,1103,11e25@kis.ac
Sokka Min Kim,11,7856992,US History,10330,C,1.76429,S1,11,1101.76429,11e25@kis.ac
Yue Ozai Oh,11,9182735,English &amp; Writing 9,10203,C,0.71631,S1,9,900.71631,11f25@kis.ac
Yue Ozai Oh,11,9182735,Geometry,10000,D,0.72472,S1,9,900.72472,11f25@kis.ac
Yue Ozai Oh,11,9182735,Global Studies 9,10300,A,3.6894,S1,9,903.6894,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Language 9,10520,C,1.40555,S1,9,901.40555,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Social Studies 9,10521,D-,0.37385,S1,9,900.37385,11f25@kis.ac
Yue Ozai Oh,11,9182735,Orchestra,10649,C-,1.38489,S1,9,901.38489,11f25@kis.ac
Yue Ozai Oh,11,9182735,PE Grade 9,10716,B+,3.10835,S1,9,903.10835,11f25@kis.ac
Yue Ozai Oh,11,9182735,Advisory 9,10700,C,0.02901,S2,9,900.02901,11f25@kis.ac
Yue Ozai Oh,11,9182735,Biology,10410,A,3.73678,S2,9,903.73678,11f25@kis.ac
Yue Ozai Oh,11,9182735,English &amp; Writing 9,10203,C,1.12125,S2,9,901.12125,11f25@kis.ac
Yue Ozai Oh,11,9182735,Geometry,10000,C+,2.0382,S2,9,902.0382,11f25@kis.ac
Yue Ozai Oh,11,9182735,Global Studies 9,10300,A+,4,S2,9,904,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Language 9,10520,C,0.54644,S2,9,900.54644,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Social Studies 9,10521,C-,1.22996,S2,9,901.22996,11f25@kis.ac
Yue Ozai Oh,11,9182735,Orchestra,10649,D,0.69219,S2,9,900.69219,11f25@kis.ac
Yue Ozai Oh,11,9182735,PE Grade 9,10716,A,3.51633,S2,9,903.51633,11f25@kis.ac
Yue Ozai Oh,11,9182735,Advisory 10,10701,C,0.79352,S1,10,1000.79352,11f25@kis.ac
Yue Ozai Oh,11,9182735,Algebra II,10015,D,0.72815,S1,10,1000.72815,11f25@kis.ac
Yue Ozai Oh,11,9182735,Chemistry,10400,B+,3,S1,10,1003,11f25@kis.ac
Yue Ozai Oh,11,9182735,English 10,10210,B-,2.16672,S1,10,1002.16672,11f25@kis.ac
Yue Ozai Oh,11,9182735,Global Studies 10,10310,C,0.42233,S1,10,1000.42233,11f25@kis.ac
Yue Ozai Oh,11,9182735,Honors Orchestra,10653,D-,0.29512,S1,10,1000.29512,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Language 10,10522,B,2.55706,S1,10,1002.55706,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Social Studies 10,10523,B,2.50228,S1,10,1002.50228,11f25@kis.ac
Yue Ozai Oh,11,9182735,Orchestra,10649,C+,2.02032,S1,10,1002.02032,11f25@kis.ac
Yue Ozai Oh,11,9182735,PE Grade 10,10712,A-,3.24438,S1,10,1003.24438,11f25@kis.ac
Yue Ozai Oh,11,9182735,Theater I,10630,C,0.66401,S1,10,1000.66401,11f25@kis.ac
Yue Ozai Oh,11,9182735,Advisory 10,10701,D+,0.95787,S2,10,1000.95787,11f25@kis.ac
Yue Ozai Oh,11,9182735,Algebra II,10015,A,3.69891,S2,10,1003.69891,11f25@kis.ac
Yue Ozai Oh,11,9182735,Chemistry,10400,C+,2,S2,10,1002,11f25@kis.ac
Yue Ozai Oh,11,9182735,English 10,10210,A-,3.30289,S2,10,1003.30289,11f25@kis.ac
Yue Ozai Oh,11,9182735,Global Studies 10,10310,C,0.76135,S2,10,1000.76135,11f25@kis.ac
Yue Ozai Oh,11,9182735,Graphic Design,10920,A-,3.2562,S2,10,1003.2562,11f25@kis.ac
Yue Ozai Oh,11,9182735,Honors Orchestra,10653,C,0.90949,S2,10,1000.90949,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Language 10,10522,D,0.84841,S2,10,1000.84841,11f25@kis.ac
Yue Ozai Oh,11,9182735,Korean Social Studies 10,10523,A-,3.29704,S2,10,1003.29704,11f25@kis.ac
Yue Ozai Oh,11,9182735,Orchestra,10649,C,1.74065,S2,10,1001.74065,11f25@kis.ac
Yue Ozai Oh,11,9182735,PE Grade 10,10712,C,1.16666,S2,10,1001.16666,11f25@kis.ac
Yue Ozai Oh,11,9182735,Advisory 11,10702,A+,4,S1,11,1104,11f25@kis.ac
Yue Ozai Oh,11,9182735,AP English Language and Composition,10221,A+,3.94134,S1,11,1104.27434,11f25@kis.ac
Yue Ozai Oh,11,9182735,AP Seminar,10222,C,0.78203,S1,11,1101.11503,11f25@kis.ac
Yue Ozai Oh,11,9182735,Physics,10422,D,0.72973,S1,11,1100.72973,11f25@kis.ac
Yue Ozai Oh,11,9182735,Pre-Calculus,10002,A-,3.46308,S1,11,1103.46308,11f25@kis.ac
Yue Ozai Oh,11,9182735,US History,10330,C,0.5505,S1,11,1100.5505,11f25@kis.ac
Yue Ozai Oh,11,9182735,Visual Art I,10613,C-,1.30534,S1,11,1101.30534,11f25@kis.ac
Yue Ozai Oh,11,9182735,Yearbook,10940,A+,3.85387,S1,11,1103.85387,11f25@kis.ac
